song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3tjFYV6RSFtuktYl3ZtYcq,0.7,0.722,G,-3.558,minor,0.0369,0.221,0.0,0.272,0.756,90.989,140526,4
0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,C♯/D♭,-5.934,major,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4
4MzXwWMhyBbmu6hOcLVD49,0.731,0.573,E,-10.059,minor,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,4
7hxHWCCAIIxFLCzvDgnQHX,0.8,0.658,C♯/D♭,-6.142,minor,0.079,0.25,0.0,0.111,0.462,140.042,195429,4
35mvY5S1H3J2QZyna3TFe0,0.737,0.802,C,-4.771,major,0.0878,0.468,0.0,0.0931,0.682,144.015,172325,4
4Oun2ylbjFKMPTiaSbbCih,0.935,0.454,C♯/D♭,-7.509,major,0.375,0.0194,0.0,0.0824,0.357,133.073,187541,4
6Im9k8u9iIzKMrmV7BWtlF,0.83,0.585,C,-6.476,major,0.094,0.237,0.0,0.248,0.485,109.978,173711,4
5nujrmhLynf4yMoMtj8AQF,0.702,0.825,F♯/G♭,-3.787,minor,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4
31qCy5ZaophVA81wtlwLc4,0.686,0.538,D,-8.026,major,0.0345,0.181,3.13e-06,0.113,0.584,115.884,190779,4
3YJJjQPAbDT7mGpX3WtQ9A,0.436,0.655,C♯/D♭,-8.37,minor,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,4
5vGLcdRuSbUhD8ScwsGSdA,0.719,0.648,D♯/E♭,-7.6,minor,0.125,0.2,0.0,0.127,0.66,140.201,123263,4
0A1hoCfMLkiAgvhWkkucJa,0.914,0.732,G♯/A♭,-6.1,minor,0.241,0.0166,0.0,0.107,0.469,94.066,171067,4
2SAqBLGA283SUiwJ3xOUVI,0.761,0.518,C,-8.871,major,0.134,0.244,3.47e-05,0.107,0.522,133.976,261493,4
0PvFJmanyNQMseIFrU708S,0.823,0.586,F♯/G♭,-6.606,minor,0.2,0.114,0.0,0.193,0.347,125.971,190476,4
27OeeYzk6klgBh83TSvGMA,0.662,0.413,C,-7.357,major,0.0299,0.213,0.0,0.134,0.467,93.005,161385,4
22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,C,-7.909,major,0.0383,0.207,0.0,0.132,0.349,99.034,162547,4
1tkg4EHVoqnhR6iFEXb60y,0.709,0.548,A♯/B♭,-8.493,major,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000,4
6zFMeegAMYQo0mt8rXtrli,0.81,0.511,F,-6.924,minor,0.164,0.12,0.0,0.0832,0.837,151.947,154998,4
6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,C,-4.209,major,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4
7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,B,-7.956,major,0.164,0.247,0.0,0.101,0.497,89.977,181733,4
0zLCBJZSiELJf02ucPP9wb,0.769,0.719,G♯/A♭,-5.472,major,0.0474,0.0143,0.00777,0.359,0.863,121.955,176867,4
21jGcNKet2qwijlDFuPiPb,0.695,0.762,C,-3.497,major,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
54bFM56PmE4YLRnqpW6Tha,0.889,0.34,B,-7.773,minor,0.0697,0.218,0.13,0.055,0.716,94.009,174321,4
3Uo7WG0vmLQ07WB4BDwy7D,0.392,0.579,G,-9.195,major,0.164,0.835,0.00179,0.145,0.549,80.961,214707,4
2U5WueTLIK5WJLD7mvDODv,0.65,0.613,A,-6.13,minor,0.128,0.00336,0.0,0.267,0.0804,149.972,194621,4
0ofHAoxe9vBkTCp2UQIavz,0.828,0.492,C,-9.744,major,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800,4
0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,A♯/B♭,-6.687,minor,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4
3w1WjD2zJqjBjDz5fwqQPJ,0.792,0.793,F,-6.185,minor,0.0841,0.0872,0.0,0.22,0.775,123.031,156578,4
0ZLuW8uOXdFNWcI40C0OC2,0.904,0.723,B,-5.224,minor,0.26,0.0631,0.0,0.185,0.835,145.013,227478,4
57VeLYXrvNxe8Vs18K2M9W,0.945,0.582,B,-8.357,minor,0.0719,0.114,0.0,0.103,0.907,108.025,168906,4
6AGOKlMZWLCaEJGnaROtF9,0.399,0.491,F♯/G♭,-10.778,minor,0.0538,0.0563,0.00089,0.11,0.151,91.066,210463,4
2Y0wPrPQBrGhoLn14xRYCG,0.625,0.814,C,-5.181,major,0.0657,0.0172,0.0,0.158,0.535,144.991,205485,4
3Dv1eDb0MEgF93GpLXlucZ,0.787,0.673,B,-4.583,minor,0.159,0.264,3.35e-06,0.0904,0.779,110.962,237893,4
2QjOHCTQ1Jl3zawyYOpxh6,0.612,0.807,A♯/B♭,-2.81,major,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4
1Cv1YLb4q0RzL6pybtaMLo,0.878,0.525,F,-6.832,major,0.0578,0.183,0.0,0.0714,0.694,112.022,158571,4
1rgnBhdG2JDFTbYkYRZAku,0.826,0.593,F♯/G♭,-6.401,minor,0.0976,0.688,0.000161,0.17,0.541,98.083,209755,4
30KctD1WsHKTIYczXjip5a,0.712,0.556,F,-7.214,minor,0.0531,0.084,5.04e-05,0.527,0.22,90.494,193293,4
2r6OAV3WsYtXuXjvJ1lIDi,0.905,0.647,A♯/B♭,-5.065,minor,0.107,0.0187,0.0,0.282,0.367,130.97,190534,4
4VXIryQMWpIdGgYR4TrjT1,0.671,0.529,C,-7.226,major,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820,4
285pBltuF7vW8TeWk8hdRR,0.511,0.566,F♯/G♭,-7.23,minor,0.2,0.349,0.0,0.34,0.218,83.903,239836,4
0RiRZpuVRbi7oqRdSMwhQY,0.755,0.522,D,-4.368,major,0.0575,0.533,0.0,0.0685,0.925,89.96,157560,4
5YSHygGN9D0mID1NsVd5my,0.613,0.631,E,-6.965,major,0.12,0.0663,0.0,0.169,0.33,149.992,158033,4
1HbA4N1MiOsPthALesGFR1,0.64,0.392,D,-7.246,minor,0.0574,0.0593,0.0,0.0839,0.502,145.838,178994,4
1K5KBOgreBi5fkEHvg5ap3,0.795,0.574,D,-6.903,minor,0.487,0.067,0.0,0.15,0.537,142.053,237918,4
7ju97lgwC2rKQ6wwsf9no9,0.672,0.855,A,-3.764,major,0.0397,0.021,0.0,0.323,0.646,123.056,182200,4
1IIKrJVP1C9N7iPtG6eOsK,0.755,0.578,C,-8.932,minor,0.145,0.316,0.0,0.25,0.581,94.148,176960,4
7kDUspsoYfLkWnZR7qwHZl,0.731,0.675,F,-5.134,minor,0.0434,0.00473,0.0,0.141,0.298,124.939,139461,4
4saklk6nie3yiGePpBwUoc,0.746,0.765,F♯/G♭,-4.41,minor,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,4
4aarlAfLKVCTxUDNgbwhjH,0.957,0.437,B,-7.882,major,0.359,0.00402,0.0,0.219,0.616,130.058,137984,4
6Hj9jySrnFppAI0sEMCZpJ,0.685,0.692,D,-5.122,major,0.0457,0.328,0.0,0.153,0.578,159.966,240051,5
1xQ6trAsedVPCdbtDAmk0c,0.767,0.481,C,-8.52,minor,0.0803,0.234,0.0,0.269,0.761,150.076,171375,4
0sY6ZUTh4yoctD8VIXz339,0.462,0.24,C,-12.077,major,0.0377,0.92,0.0,0.113,0.32,171.319,244000,4
3UoULw70kMsiVXxW0L3A33,0.487,0.534,C,-5.664,minor,0.0555,0.36,0.0,0.1,0.173,131.798,201882,4
6IBcOGPsniK3Pso1wHIhew,0.487,0.65,C,-5.195,major,0.0253,0.191,0.0,0.0933,0.456,151.964,232533,4
2Z71PZlOeF9YVze4hy1A1a,0.753,0.745,A♯/B♭,-4.776,minor,0.334,0.0159,0.0,0.127,0.635,169.02,242001,4
5SWnsxjhdcEDc7LJjq9UHk,0.819,0.626,A♯/B♭,-4.574,minor,0.202,0.00748,0.101,0.167,0.415,143.01,195906,4
2tUBqZG2AbRi7Q0BIrVrEj,0.709,0.824,C♯/D♭,-8.824,major,0.0453,0.207,0.000307,0.0888,0.867,118.818,291293,4
45bE4HXI0AwGZXfZtMp8JR,0.667,0.373,E,-9.389,major,0.05,0.785,0.0,0.0906,0.0823,124.148,169266,4
02MWAaffLxlfxAUY7c5dvx,0.761,0.525,B,-6.9,major,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4
5T8EDUDqKcs6OSOwEsfqG7,0.559,0.868,F,-5.276,major,0.17,0.0475,0.000176,0.776,0.609,156.295,209413,4
4y4spB9m0Q6026KfkAvy9Q,0.631,0.239,B,-7.071,minor,0.0398,0.864,0.0,0.116,0.0927,79.859,149297,4
7lT1dCz96jANsLAAADlfIg,0.856,0.841,F♯/G♭,-7.737,minor,0.335,0.0977,0.0,0.0773,0.794,95.418,298053,4
4Iedi94TIaB2GGb1nMB68v,0.856,0.564,F♯/G♭,-6.295,minor,0.392,0.00327,0.0,0.134,0.483,77.972,135960,4
3qgPpwtuRu5oP8EtFSj8HE,0.719,0.598,A,-6.254,major,0.077,0.232,0.0,0.115,0.303,142.592,126521,4
4xqrdfXkTW4T0RauPLv3WA,0.357,0.425,F,-7.301,major,0.0333,0.584,0.0,0.322,0.27,102.078,198040,3
6EDO9iiTtwNv6waLwa1UUq,0.8,0.56,F,-4.818,minor,0.261,0.057,0.0,0.134,0.45,163.071,200221,4
2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,G,-10.965,major,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
0E4Y1XIbs8GrAT1YqVy6dq,0.641,0.324,B,-5.851,major,0.0299,0.698,0.0,0.328,0.273,110.184,185487,4
4kLLWz7srcuLKA7Et40PQR,0.743,0.766,C,-6.375,major,0.0265,0.0873,0.0,0.509,0.61,127.96,289133,4
2Oycxb8QbPkpHTo8ZrmG0B,0.781,0.67,D♯/E♭,-3.912,minor,0.0452,0.0103,0.0,0.0761,0.595,127.99,169333,4
